Month,Edits,IPs,IPs %,Minor edits,Minor edits %,Edits  ·  Minor edits  ·  IPs,Found References,Found Body,Total Found
2004-03,4,1,25%,0,0%,,5,0,5
2004-04,2,2,100%,0,0%,,0,0,0
2004-05,0,0,0%,0,0%,,2,0,2
2004-06,6,1,16.7%,0,0%,,1,0,1
2004-07,82,18,22%,36,43.9%,,6,0,6
2004-08,97,22,22.7%,27,27.8%,,2,0,2
2004-09,26,12,46.2%,7,26.9%,,0,0,0
2004-10,13,7,53.8%,5,38.5%,,0,0,0
2004-11,66,29,43.9%,14,21.2%,,5,0,5
2004-12,39,13,33.3%,9,23.1%,,0,0,0
2005-01,73,25,34.2%,20,27.4%,,0,1,1
2005-02,31,16,51.6%,10,32.3%,,0,0,0
2005-03,17,4,23.5%,7,41.2%,,0,0,0
2005-04,37,7,18.9%,17,45.9%,,0,0,0
2005-05,14,6,42.9%,4,28.6%,,1,0,1
2005-06,70,34,48.6%,20,28.6%,,0,0,0
2005-07,38,19,50%,10,26.3%,,0,0,0
2005-08,23,8,34.8%,5,21.7%,,0,0,0
2005-09,37,16,43.2%,13,35.1%,,0,0,0
2005-10,32,16,50%,10,31.2%,,0,0,0
2005-11,40,21,52.5%,6,15%,,0,0,0
2005-12,49,21,42.9%,9,18.4%,,3,0,3
2006-01,80,40,50%,18,22.5%,,1,0,1
2006-02,60,28,46.7%,13,21.7%,,0,0,0
2006-03,44,19,43.2%,14,31.8%,,0,0,0
2006-04,39,17,43.6%,13,33.3%,,0,0,0
2006-05,86,51,59.3%,15,17.4%,,0,0,0
2006-06,84,26,31%,22,26.2%,,1,0,1
2006-07,83,26,31.3%,24,28.9%,,0,0,0
2006-08,113,44,38.9%,43,38.1%,,0,0,0
2006-09,388,40,10.3%,133,34.3%,,2,0,2
2006-10,638,186,29.2%,154,24.1%,,2,0,2
2006-11,486,150,30.9%,109,22.4%,,0,0,0
2006-12,461,152,33%,138,29.9%,,1,0,1
2007-01,686,70,10.2%,161,23.5%,,4,0,4
2007-02,651,176,27%,142,21.8%,,7,1,8
2007-03,545,106,19.4%,109,20%,,8,0,8
2007-04,247,11,4.5%,60,24.3%,,1,0,1
2007-05,403,94,23.3%,88,21.8%,,2,0,2
2007-06,96,0,0%,15,15.6%,,1,0,1
