Month,Edits,IPs,IPs %,Minor edits,Minor edits %,Edits  ·  Minor edits  ·  IPs,Found References,Found Body,Total Found
2003-09,2,1,50%,0,0%,,0,0,0
2003-10,2,0,0%,1,50%,,0,0,0
2003-11,0,0,0%,0,0%,,0,0,0
2003-12,0,0,0%,0,0%,,0,0,0
2004-01,0,0,0%,0,0%,,0,0,0
2004-02,0,0,0%,0,0%,,0,0,0
2004-03,1,1,100%,0,0%,,0,0,0
2004-04,2,0,0%,0,0%,,0,0,0
2004-05,0,0,0%,0,0%,,0,0,0
2004-06,1,0,0%,0,0%,,0,0,0
2004-07,3,1,33.3%,0,0%,,0,0,0
2004-08,1,0,0%,0,0%,,0,0,0
2004-09,1,0,0%,1,100%,,0,0,0
2004-10,9,1,11.1%,3,33.3%,,0,0,0
2004-11,10,1,10%,0,0%,,0,0,0
2004-12,2,1,50%,1,50%,,0,0,0
2005-01,5,1,20%,3,60%,,0,0,0
2005-02,0,0,0%,0,0%,,1,0,1
2005-03,7,4,57.1%,2,28.6%,,0,0,0
2005-04,6,1,16.7%,0,0%,,0,0,0
2005-05,0,0,0%,0,0%,,0,0,0
2005-06,8,1,12.5%,3,37.5%,,0,0,0
2005-07,16,6,37.5%,7,43.8%,,0,0,0
2005-08,14,3,21.4%,4,28.6%,,0,0,0
2005-09,11,5,45.5%,2,18.2%,,1,0,1
2005-10,12,7,58.3%,1,8.3%,,0,0,0
2005-11,21,9,42.9%,1,4.8%,,0,0,0
2005-12,3,0,0%,2,66.7%,,0,0,0
2006-01,18,14,77.8%,0,0%,,0,0,0
2006-02,32,12,37.5%,7,21.9%,,0,0,0
2006-03,28,10,35.7%,4,14.3%,,2,1,3
2006-04,9,1,11.1%,2,22.2%,,1,0,1
2006-05,10,2,20%,3,30%,,0,0,0
2006-06,26,16,61.5%,3,11.5%,,0,0,0
2006-07,14,4,28.6%,4,28.6%,,0,0,0
2006-08,1,0,0%,1,100%,,0,0,0
2006-09,9,2,22.2%,2,22.2%,,0,0,0
2006-10,21,8,38.1%,9,42.9%,,0,0,0
2006-11,65,31,47.7%,13,20%,,1,0,1
2006-12,12,7,58.3%,5,41.7%,,0,0,0
2007-01,30,9,30%,8,26.7%,,0,0,0
2007-02,29,9,31%,8,27.6%,,0,0,0
2007-03,39,18,46.2%,9,23.1%,,2,1,3
2007-04,52,34,65.4%,0,0%,,0,1,1
2007-05,27,6,22.2%,6,22.2%,,0,0,0
2007-06,15,2,13.3%,6,40%,,0,0,0
2007-07,35,16,45.7%,8,22.9%,,1,0,1
2007-08,18,7,38.9%,3,16.7%,,0,0,0
2007-09,57,34,59.6%,5,8.8%,,0,0,0
2007-10,9,2,22.2%,2,22.2%,,0,0,0
2007-11,13,10,76.9%,0,0%,,1,0,1
2007-12,9,3,33.3%,1,11.1%,,0,0,0
2008-01,11,2,18.2%,4,36.4%,,0,0,0
2008-02,15,7,46.7%,0,0%,,0,0,0
2008-03,18,6,33.3%,7,38.9%,,0,0,0
2008-04,22,9,40.9%,5,22.7%,,1,0,1
2008-05,5,0,0%,0,0%,,0,0,0
2008-06,10,1,10%,4,40%,,1,2,3
2008-07,47,16,34%,11,23.4%,,3,0,3
2008-08,25,13,52%,8,32%,,0,0,0
2008-09,21,11,52.4%,4,19%,,0,0,0
2008-10,27,3,11.1%,9,33.3%,,1,1,2
2008-11,26,9,34.6%,11,42.3%,,1,0,1
2008-12,22,12,54.5%,2,9.1%,,3,2,5
2009-01,48,20,41.7%,10,20.8%,,1,0,1
2009-02,16,7,43.8%,3,18.8%,,0,0,0
2009-03,16,8,50%,1,6.2%,,2,1,3
2009-04,17,4,23.5%,6,35.3%,,1,0,1
2009-05,9,6,66.7%,0,0%,,2,0,2
2009-06,6,3,50%,1,16.7%,,1,0,1
2009-07,7,3,42.9%,3,42.9%,,1,0,1
2009-08,5,1,20%,2,40%,,0,0,0
2009-09,22,12,54.5%,5,22.7%,,0,0,0
2009-10,12,8,66.7%,2,16.7%,,1,0,1
2009-11,11,8,72.7%,3,27.3%,,2,0,2
2009-12,27,12,44.4%,4,14.8%,,2,0,2
2010-01,43,37,86%,2,4.7%,,2,0,2
2010-02,39,27,69.2%,2,5.1%,,1,0,1
2010-03,15,6,40%,6,40%,,0,0,0
2010-04,24,5,20.8%,7,29.2%,,0,0,0
2010-05,11,2,18.2%,2,18.2%,,0,0,0
2010-06,42,22,52.4%,7,16.7%,,2,0,2
2010-07,7,6,85.7%,0,0%,,0,0,0
2010-08,27,7,25.9%,10,37%,,2,0,2
2010-09,19,12,63.2%,4,21.1%,,0,0,0
2010-10,17,5,29.4%,3,17.6%,,0,0,0
2010-11,32,13,40.6%,4,12.5%,,2,0,2
2010-12,10,6,60%,2,20%,,0,0,0
2011-01,28,17,60.7%,5,17.9%,,0,0,0
2011-02,9,5,55.6%,3,33.3%,,5,0,5
2011-03,16,11,68.8%,2,12.5%,,1,0,1
2011-04,34,16,47.1%,10,29.4%,,0,0,0
2011-05,18,4,22.2%,3,16.7%,,0,0,0
2011-06,7,3,42.9%,3,42.9%,,1,0,1
2011-07,6,2,33.3%,2,33.3%,,1,0,1
2011-08,6,1,16.7%,1,16.7%,,0,0,0
2011-09,4,1,25%,2,50%,,0,0,0
2011-10,2,0,0%,0,0%,,0,0,0
2011-11,3,1,33.3%,1,33.3%,,0,0,0
2011-12,6,1,16.7%,1,16.7%,,0,0,0
2012-01,9,2,22.2%,1,11.1%,,3,1,4
2012-02,8,0,0%,4,50%,,0,0,0
2012-03,10,5,50%,3,30%,,1,0,1
2012-04,3,0,0%,3,100%,,1,0,1
2012-05,16,4,25%,1,6.2%,,0,0,0
2012-06,26,3,11.5%,3,11.5%,,0,0,0
2012-07,2,1,50%,0,0%,,0,0,0
2012-08,2,0,0%,2,100%,,0,0,0
2012-09,2,1,50%,0,0%,,1,0,1
2012-10,5,3,60%,1,20%,,0,0,0
2012-11,5,0,0%,3,60%,,0,0,0
2012-12,4,3,75%,1,25%,,0,0,0
2013-01,42,7,16.7%,9,21.4%,,5,0,5
2013-02,4,1,25%,1,25%,,0,0,0
2013-03,7,3,42.9%,3,42.9%,,0,0,0
2013-04,4,2,50%,0,0%,,2,0,2
2013-05,16,11,68.8%,3,18.8%,,0,0,0
2013-06,10,5,50%,2,20%,,0,0,0
2013-07,3,0,0%,0,0%,,0,0,0
2013-08,9,4,44.4%,1,11.1%,,1,0,1
2013-09,10,6,60%,2,20%,,0,0,0
2013-10,1,0,0%,1,100%,,1,0,1
2013-11,3,1,33.3%,1,33.3%,,1,0,1
2013-12,3,1,33.3%,1,33.3%,,1,0,1
2014-01,4,2,50%,1,25%,,0,0,0
2014-02,9,4,44.4%,2,22.2%,,0,0,0
2014-03,2,1,50%,1,50%,,0,0,0
2014-04,9,1,11.1%,2,22.2%,,1,0,1
2014-05,0,0,0%,0,0%,,0,0,0
2014-06,2,0,0%,1,50%,,1,0,1
2014-07,9,3,33.3%,1,11.1%,,0,0,0
2014-08,7,3,42.9%,1,14.3%,,0,0,0
2014-09,12,6,50%,2,16.7%,,0,0,0
2014-10,4,0,0%,3,75%,,1,0,1
2014-11,17,4,23.5%,0,0%,,0,0,0
2014-12,7,0,0%,2,28.6%,,0,0,0
2015-01,17,2,11.8%,4,23.5%,,0,0,0
2015-02,12,7,58.3%,2,16.7%,,0,0,0
2015-03,20,5,25%,1,5%,,0,0,0
2015-04,14,6,42.9%,2,14.3%,,0,0,0
2015-05,7,1,14.3%,2,28.6%,,0,0,0
2015-06,5,2,40%,3,60%,,0,0,0
2015-07,5,1,20%,2,40%,,2,0,2
2015-08,54,24,44.4%,10,18.5%,,4,1,5
2015-09,12,7,58.3%,3,25%,,0,0,0
2015-10,5,2,40%,2,40%,,0,0,0
2015-11,12,5,41.7%,3,25%,,0,0,0
2015-12,3,1,33.3%,1,33.3%,,0,0,0
2016-01,5,3,60%,1,20%,,0,0,0
2016-02,18,5,27.8%,5,27.8%,,0,0,0
2016-03,6,3,50%,0,0%,,0,0,0
2016-04,15,7,46.7%,3,20%,,0,0,0
2016-05,6,2,33.3%,3,50%,,0,0,0
2016-06,11,2,18.2%,1,9.1%,,0,0,0
2016-07,4,2,50%,1,25%,,0,0,0
2016-08,11,1,9.1%,3,27.3%,,0,0,0
2016-09,14,7,50%,3,21.4%,,0,0,0
2016-10,13,5,38.5%,4,30.8%,,0,0,0
2016-11,70,23,32.9%,8,11.4%,,6,0,6
2016-12,32,0,0%,8,25%,,4,0,4
2017-01,53,0,0%,11,20.8%,,3,0,3
2017-02,50,0,0%,12,24%,,1,0,1
2017-03,24,0,0%,7,29.2%,,3,0,3
2017-04,10,0,0%,1,10%,,2,0,2
2017-05,26,0,0%,4,15.4%,,5,0,5
2017-06,12,0,0%,4,33.3%,,3,0,3
2017-07,7,0,0%,2,28.6%,,2,0,2
2017-08,9,0,0%,6,66.7%,,1,0,1
2017-09,10,0,0%,4,40%,,2,0,2
2017-10,5,0,0%,0,0%,,1,0,1
2017-11,9,2,22.2%,4,44.4%,,1,0,1
2017-12,15,2,13.3%,5,33.3%,,0,0,0
2018-01,55,20,36.4%,12,21.8%,,3,0,3
2018-02,20,10,50%,6,30%,,1,0,1
2018-03,15,7,46.7%,3,20%,,2,0,2
2018-04,15,3,20%,3,20%,,4,0,4
2018-05,21,13,61.9%,0,0%,,7,0,7
2018-06,20,4,20%,5,25%,,8,1,9
2018-07,16,6,37.5%,3,18.8%,,3,0,3
2018-08,58,13,22.4%,13,22.4%,,2,0,2
2018-09,28,9,32.1%,9,32.1%,,0,0,0
2018-10,17,3,17.6%,6,35.3%,,0,0,0
2018-11,16,3,18.8%,5,31.2%,,3,0,3
2018-12,49,12,24.5%,18,36.7%,,0,0,0
2019-01,56,22,39.3%,12,21.4%,,0,0,0
2019-02,19,6,31.6%,4,21.1%,,0,0,0
2019-03,79,40,50.6%,28,35.4%,,0,0,0
2019-04,9,1,11.1%,3,33.3%,,0,0,0
2019-05,7,2,28.6%,1,14.3%,,0,0,0
2019-06,61,25,41%,27,44.3%,,0,0,0
2019-07,3,0,0%,0,0%,,0,0,0
2019-08,9,0,0%,4,44.4%,,1,0,1
2019-09,9,0,0%,6,66.7%,,1,0,1
2019-10,2,0,0%,0,0%,,0,0,0
2019-11,5,0,0%,1,20%,,0,0,0
2019-12,5,0,0%,1,20%,,0,0,0
2020-01,14,0,0%,6,42.9%,,0,0,0
2020-02,5,0,0%,3,60%,,0,0,0
2020-03,6,0,0%,3,50%,,4,0,4
2020-04,4,0,0%,1,25%,,0,0,0
2020-05,5,0,0%,2,40%,,0,0,0
2020-06,19,9,47.4%,7,36.8%,,0,0,0
2020-07,9,0,0%,0,0%,,2,0,2
2020-08,10,0,0%,2,20%,,0,0,0
2020-09,13,0,0%,0,0%,,0,0,0
2020-10,14,0,0%,6,42.9%,,0,0,0
2020-11,11,0,0%,3,27.3%,,0,0,0
2020-12,7,0,0%,4,57.1%,,0,0,0
2021-01,108,0,0%,30,27.8%,,2,3,5
2021-02,20,0,0%,6,30%,,0,0,0
2021-03,28,0,0%,10,35.7%,,0,0,0
2021-04,15,0,0%,4,26.7%,,0,0,0
2021-05,7,0,0%,3,42.9%,,0,0,0
2021-06,12,3,25%,6,50%,,0,0,0
2021-07,7,0,0%,2,28.6%,,1,1,2
2021-08,3,0,0%,1,33.3%,,0,0,0
2021-09,6,0,0%,1,16.7%,,0,0,0
2021-10,10,0,0%,0,0%,,0,0,0
2021-11,6,0,0%,2,33.3%,,0,0,0
2021-12,9,0,0%,4,44.4%,,0,0,0
2022-01,9,0,0%,2,22.2%,,0,0,0
2022-02,23,0,0%,7,30.4%,,1,0,1
2022-03,13,0,0%,2,15.4%,,0,0,0
2022-04,9,0,0%,4,44.4%,,0,0,0
2022-05,8,0,0%,3,37.5%,,0,0,0
2022-06,7,0,0%,1,14.3%,,0,0,0
2022-07,12,0,0%,4,33.3%,,1,1,2
2022-08,4,0,0%,0,0%,,0,0,0
2022-09,1,0,0%,0,0%,,0,0,0
2022-10,2,0,0%,1,50%,,0,0,0
2022-11,13,0,0%,2,15.4%,,0,0,0
2022-12,2,0,0%,0,0%,,0,0,0
