Month,Edits,IPs,IPs %,Minor edits,Minor edits %,Edits  ·  Minor edits  ·  IPs,Found References,Found Body,Total Found
2004-01,6,0,0%,4,66.7%,,0,0,0
2004-02,2,1,50%,1,50%,,0,0,0
2004-03,1,0,0%,0,0%,,0,0,0
2004-04,22,11,50%,4,18.2%,,1,0,1
2004-05,10,4,40%,1,10%,,0,0,0
2004-06,14,4,28.6%,4,28.6%,,0,0,0
2004-07,0,0,0%,0,0%,,0,0,0
2004-08,4,2,50%,1,25%,,0,0,0
2004-09,15,0,0%,6,40%,,0,0,0
2004-10,21,12,57.1%,5,23.8%,,0,0,0
2004-11,22,8,36.4%,6,27.3%,,0,0,0
2004-12,26,12,46.2%,9,34.6%,,0,0,0
2005-01,22,12,54.5%,5,22.7%,,1,0,1
2005-02,25,8,32%,8,32%,,0,0,0
2005-03,22,13,59.1%,5,22.7%,,0,0,0
2005-04,25,17,68%,3,12%,,0,0,0
2005-05,47,24,51.1%,14,29.8%,,0,0,0
2005-06,30,15,50%,2,6.7%,,1,0,1
2005-07,29,19,65.5%,5,17.2%,,0,0,0
2005-08,58,24,41.4%,18,31%,,0,0,0
2005-09,48,20,41.7%,13,27.1%,,0,0,0
2005-10,62,39,62.9%,10,16.1%,,1,0,1
2005-11,77,48,62.3%,19,24.7%,,0,0,0
2005-12,120,70,58.3%,35,29.2%,,0,0,0
2006-01,161,95,59%,33,20.5%,,0,0,0
2006-02,138,83,60.1%,21,15.2%,,1,0,1
2006-03,219,112,51.1%,47,21.5%,,0,0,0
2006-04,156,77,49.4%,38,24.4%,,0,0,0
2006-05,177,103,58.2%,35,19.8%,,0,0,0
2006-06,164,82,50%,25,15.2%,,0,0,0
2006-07,52,18,34.6%,11,21.2%,,0,0,0
2006-08,71,39,54.9%,13,18.3%,,0,0,0
2006-09,174,85,48.9%,46,26.4%,,0,0,0
2006-10,201,87,43.3%,58,28.9%,,0,0,0
2006-11,172,98,57%,35,20.3%,,0,0,0
2006-12,242,56,23.1%,43,17.8%,,0,0,0
2007-01,298,93,31.2%,71,23.8%,,0,0,0
2007-02,86,12,14%,20,23.3%,,0,0,0
2007-03,106,0,0%,24,22.6%,,0,0,0
2007-04,51,0,0%,11,21.6%,,0,0,0
2007-05,70,0,0%,19,27.1%,,0,0,0
2007-06,58,0,0%,14,24.1%,,0,0,0
2007-07,98,13,13.3%,15,15.3%,,0,0,0
2007-08,113,46,40.7%,22,19.5%,,0,0,0
2007-09,167,88,52.7%,41,24.6%,,0,0,0
2007-10,84,29,34.5%,22,26.2%,,0,0,0
2007-11,152,70,46.1%,29,19.1%,,0,0,0
2007-12,134,61,45.5%,29,21.6%,,0,0,0
2008-01,236,131,55.5%,79,33.5%,,0,0,0
2008-02,226,114,50.4%,64,28.3%,,0,0,0
2008-03,93,39,41.9%,18,19.4%,,0,0,0
2008-04,41,0,0%,12,29.3%,,0,0,0
2008-05,37,0,0%,7,18.9%,,0,0,0
2008-06,23,0,0%,5,21.7%,,0,0,0
2008-07,33,0,0%,8,24.2%,,0,0,0
2008-08,9,0,0%,6,66.7%,,0,0,0
2008-09,13,0,0%,3,23.1%,,0,0,0
2008-10,6,0,0%,1,16.7%,,0,0,0
2008-11,3,0,0%,2,66.7%,,0,0,0
2008-12,17,0,0%,4,23.5%,,0,0,0
2009-01,26,0,0%,6,23.1%,,0,0,0
2009-02,21,0,0%,8,38.1%,,0,0,0
2009-03,16,0,0%,1,6.2%,,0,0,0
2009-04,7,0,0%,1,14.3%,,0,0,0
2009-05,3,0,0%,0,0%,,0,0,0
2009-06,35,0,0%,5,14.3%,,0,0,0
2009-07,7,0,0%,2,28.6%,,0,0,0
2009-08,10,0,0%,8,80%,,0,0,0
2009-09,5,0,0%,2,40%,,0,0,0
2009-10,14,0,0%,5,35.7%,,0,0,0
2009-11,15,0,0%,7,46.7%,,0,0,0
2009-12,6,0,0%,2,33.3%,,0,0,0
2010-01,7,0,0%,6,85.7%,,0,0,0
2010-02,11,0,0%,3,27.3%,,0,0,0
2010-03,13,0,0%,2,15.4%,,0,0,0
2010-04,6,0,0%,1,16.7%,,0,0,0
2010-05,16,0,0%,5,31.2%,,0,0,0
2010-06,3,0,0%,2,66.7%,,0,0,0
2010-07,7,0,0%,2,28.6%,,0,0,0
2010-08,6,0,0%,2,33.3%,,0,0,0
2010-09,7,0,0%,4,57.1%,,0,0,0
2010-10,17,0,0%,7,41.2%,,0,0,0
2010-11,12,0,0%,5,41.7%,,0,0,0
2010-12,8,0,0%,4,50%,,0,0,0
2011-01,14,0,0%,6,42.9%,,0,0,0
2011-02,110,0,0%,25,22.7%,,2,0,2
2011-03,63,0,0%,19,30.2%,,0,0,0
2011-04,243,0,0%,61,25.1%,,3,0,3
2011-05,502,69,13.7%,146,29.1%,,3,0,3
2011-06,153,63,41.2%,51,33.3%,,0,0,0
2011-07,86,29,33.7%,17,19.8%,,0,0,0
2011-08,37,5,13.5%,17,45.9%,,0,0,0
2011-09,35,0,0%,11,31.4%,,0,0,0
2011-10,23,0,0%,10,43.5%,,0,0,0
2011-11,23,0,0%,13,56.5%,,0,0,0
2011-12,32,0,0%,13,40.6%,,1,0,1
2012-01,24,0,0%,10,41.7%,,0,0,0
2012-02,13,0,0%,7,53.8%,,1,0,1
2012-03,9,0,0%,1,11.1%,,0,0,0
2012-04,12,0,0%,4,33.3%,,0,0,0
2012-05,14,0,0%,6,42.9%,,0,0,0
2012-06,9,0,0%,2,22.2%,,0,0,0
2012-07,21,0,0%,1,4.8%,,0,0,0
2012-08,36,12,33.3%,12,33.3%,,0,0,0
2012-09,56,20,35.7%,19,33.9%,,0,0,0
2012-10,121,54,44.6%,37,30.6%,,0,0,0
2012-11,47,0,0%,5,10.6%,,0,0,0
2012-12,20,0,0%,3,15%,,0,0,0
2013-01,3,0,0%,0,0%,,0,0,0
2013-02,21,0,0%,8,38.1%,,0,0,0
2013-03,16,0,0%,3,18.8%,,0,0,0
2013-04,10,0,0%,1,10%,,0,0,0
2013-05,12,0,0%,3,25%,,0,0,0
2013-06,23,0,0%,4,17.4%,,0,0,0
2013-07,24,0,0%,6,25%,,0,0,0
2013-08,19,0,0%,1,5.3%,,1,0,1
2013-09,7,0,0%,5,71.4%,,0,0,0
2013-10,44,5,11.4%,14,31.8%,,0,0,0
2013-11,41,11,26.8%,9,22%,,0,0,0
2013-12,58,11,19%,15,25.9%,,1,0,1
2014-01,43,18,41.9%,13,30.2%,,0,0,0
2014-02,56,15,26.8%,16,28.6%,,0,0,0
2014-03,24,7,29.2%,8,33.3%,,0,0,0
2014-04,39,14,35.9%,14,35.9%,,0,0,0
2014-05,33,5,15.2%,11,33.3%,,0,0,0
2014-06,26,7,26.9%,8,30.8%,,0,0,0
2014-07,74,20,27%,8,10.8%,,0,0,0
2014-08,40,15,37.5%,6,15%,,0,0,0
2014-09,15,4,26.7%,4,26.7%,,0,0,0
2014-10,37,12,32.4%,10,27%,,0,0,0
2014-11,49,12,24.5%,10,20.4%,,0,0,0
2014-12,29,13,44.8%,4,13.8%,,0,0,0
2015-01,31,6,19.4%,6,19.4%,,0,0,0
2015-02,64,8,12.5%,19,29.7%,,0,0,0
2015-03,60,12,20%,17,28.3%,,0,0,0
2015-04,37,11,29.7%,12,32.4%,,0,0,0
2015-05,28,10,35.7%,6,21.4%,,0,0,0
2015-06,443,98,22.1%,116,26.2%,,2,0,2
2015-07,643,82,12.8%,159,24.7%,,5,0,5
2015-08,476,0,0%,143,30%,,6,0,6
2015-09,241,0,0%,53,22%,,4,0,4
2015-10,90,0,0%,23,25.6%,,2,0,2
2015-11,131,0,0%,31,23.7%,,0,0,0
2015-12,346,0,0%,93,26.9%,,3,0,3
2016-01,523,0,0%,152,29.1%,,5,0,5
2016-02,622,0,0%,175,28.1%,,7,1,8
2016-03,1115,0,0%,203,18.2%,,8,0,8
2016-04,193,0,0%,46,23.8%,,2,0,2
2016-05,923,0,0%,184,19.9%,,5,0,5
2016-06,651,0,0%,157,24.1%,,8,0,8
2016-07,517,0,0%,99,19.1%,,9,0,9
2016-08,717,0,0%,101,14.1%,,12,0,12
2016-09,480,0,0%,82,17.1%,,9,0,9
2016-10,1151,0,0%,192,16.7%,,9,0,9
2016-11,1475,0,0%,303,20.5%,,11,1,12
2016-12,956,0,0%,183,19.1%,,6,1,7
2017-01,1023,0,0%,202,19.7%,,14,4,18
2017-02,423,0,0%,81,19.1%,,6,0,6
2017-03,745,0,0%,107,14.4%,,8,0,8
2017-04,552,0,0%,88,15.9%,,2,0,2
2017-05,372,0,0%,94,25.3%,,8,1,9
2017-06,400,0,0%,68,17%,,5,0,5
2017-07,222,0,0%,20,9%,,3,0,3
2017-08,119,0,0%,24,20.2%,,9,0,9
2017-09,157,0,0%,28,17.8%,,4,1,5
2017-10,142,0,0%,30,21.1%,,2,0,2
2017-11,158,0,0%,25,15.8%,,4,0,4
2017-12,433,0,0%,48,11.1%,,10,1,11
2018-01,455,1,0.2%,52,11.4%,,12,0,12
2018-02,230,0,0%,66,28.7%,,1,0,1
2018-03,253,0,0%,33,13%,,9,0,9
2018-04,189,0,0%,24,12.7%,,11,0,11
2018-05,287,0,0%,38,13.2%,,8,0,8
2018-06,459,0,0%,61,13.3%,,16,1,17
2018-07,260,0,0%,34,13.1%,,7,0,7
2018-08,201,0,0%,34,16.9%,,8,0,8
2018-09,74,0,0%,13,17.6%,,1,0,1
2018-10,243,0,0%,45,18.5%,,10,0,10
2018-11,133,0,0%,53,39.8%,,2,0,2
2018-12,224,0,0%,32,14.3%,,9,0,9
2019-01,225,0,0%,37,16.4%,,13,1,14
2019-02,85,0,0%,10,11.8%,,5,0,5
2019-03,260,0,0%,38,14.6%,,5,0,5
2019-04,127,0,0%,19,15%,,8,0,8
2019-05,201,0,0%,41,20.4%,,12,0,12
2019-06,353,0,0%,36,10.2%,,5,0,5
2019-07,347,0,0%,53,15.3%,,11,0,11
2019-08,224,0,0%,49,21.9%,,8,0,8
2019-09,337,0,0%,112,33.2%,,11,0,11
2019-10,480,0,0%,89,18.5%,,16,0,16
2019-11,200,0,0%,46,23%,,9,0,9
2019-12,249,0,0%,69,27.7%,,8,0,8
2020-01,239,0,0%,40,16.7%,,16,3,19
2020-02,263,0,0%,32,12.2%,,10,0,10
2020-03,232,0,0%,46,19.8%,,26,0,26
2020-04,222,0,0%,37,16.7%,,20,0,20
2020-05,261,0,0%,46,17.6%,,11,0,11
2020-06,312,0,0%,47,15.1%,,16,1,17
2020-07,290,0,0%,49,16.9%,,13,0,13
2020-08,237,0,0%,43,18.1%,,14,0,14
2020-09,272,0,0%,81,29.8%,,23,0,23
2020-10,602,0,0%,145,24.1%,,16,1,17
2020-11,522,0,0%,89,17%,,11,0,11
2020-12,325,0,0%,55,16.9%,,13,0,13
2021-01,1055,0,0%,181,17.2%,,37,6,43
2021-02,584,0,0%,52,8.9%,,13,1,14
2021-03,180,0,0%,25,13.9%,,1,0,1
2021-04,94,0,0%,21,22.3%,,1,0,1
2021-05,168,0,0%,21,12.5%,,7,0,7
2021-06,207,0,0%,29,14%,,7,1,8
2021-07,173,0,0%,9,5.2%,,5,0,5
2021-08,164,0,0%,7,4.3%,,1,0,1
2021-09,263,0,0%,85,32.3%,,4,0,4
2021-10,622,0,0%,373,60%,,2,0,2
2021-11,114,0,0%,6,5.3%,,2,0,2
2021-12,151,0,0%,19,12.6%,,3,0,3
2022-01,262,0,0%,37,14.1%,,2,0,2
2022-02,70,0,0%,5,7.1%,,1,0,1
2022-03,63,0,0%,7,11.1%,,0,0,0
2022-04,178,0,0%,13,7.3%,,2,1,3
2022-05,193,0,0%,17,8.8%,,0,0,0
2022-06,73,0,0%,10,13.7%,,0,0,0
2022-07,155,0,0%,12,7.7%,,1,0,1
2022-08,215,0,0%,22,10.2%,,11,1,12
2022-09,131,0,0%,9,6.9%,,2,0,2
2022-10,190,0,0%,7,3.7%,,0,0,0
2022-11,224,0,0%,37,16.5%,,7,3,10
2022-12,81,0,0%,13,16%,,0,0,0
