Month,Edits,IPs,IPs %,Minor edits,Minor edits %,Edits  ·  Minor edits  ·  IPs,Found References,Found Body,Total Found
2001-03,2,0,0%,0,0%,,0,0,0
2001-04,0,0,0%,0,0%,,0,0,0
2001-05,0,0,0%,0,0%,,0,0,0
2001-06,2,0,0%,0,0%,,0,0,0
2001-07,4,0,0%,0,0%,,0,0,0
2001-08,1,0,0%,1,100%,,0,0,0
2001-09,0,0,0%,0,0%,,0,0,0
2001-10,0,0,0%,0,0%,,0,0,0
2001-11,0,0,0%,0,0%,,1,0,1
2001-12,2,0,0%,0,0%,,0,0,0
2002-01,0,0,0%,0,0%,,0,0,0
2002-02,1,0,0%,1,100%,,0,0,0
2002-03,0,0,0%,0,0%,,0,0,0
2002-04,0,0,0%,0,0%,,0,0,0
2002-05,3,2,66.7%,0,0%,,0,0,0
2002-06,0,0,0%,0,0%,,0,0,0
2002-07,4,2,50%,1,25%,,0,0,0
2002-08,0,0,0%,0,0%,,0,0,0
2002-09,0,0,0%,0,0%,,0,0,0
2002-10,1,0,0%,0,0%,,0,0,0
2002-11,0,0,0%,0,0%,,0,0,0
2002-12,0,0,0%,0,0%,,0,0,0
2003-01,2,0,0%,2,100%,,0,0,0
2003-02,0,0,0%,0,0%,,0,0,0
2003-03,2,0,0%,1,50%,,1,0,1
2003-04,3,1,33.3%,1,33.3%,,0,0,0
2003-05,7,3,42.9%,0,0%,,0,0,0
2003-06,5,2,40%,1,20%,,1,0,1
2003-07,6,3,50%,3,50%,,0,0,0
2003-08,6,4,66.7%,2,33.3%,,0,0,0
2003-09,11,2,18.2%,6,54.5%,,0,0,0
2003-10,3,0,0%,1,33.3%,,0,0,0
2003-11,5,1,20%,2,40%,,0,0,0
2003-12,1,0,0%,0,0%,,0,0,0
2004-01,5,2,40%,1,20%,,0,0,0
2004-02,58,10,17.2%,13,22.4%,,0,0,0
2004-03,8,2,25%,1,12.5%,,0,0,0
2004-04,39,6,15.4%,17,43.6%,,0,0,0
2004-05,10,2,20%,4,40%,,0,0,0
2004-06,36,6,16.7%,12,33.3%,,0,0,0
2004-07,2,0,0%,1,50%,,0,0,0
2004-08,26,7,26.9%,8,30.8%,,0,0,0
2004-09,56,21,37.5%,16,28.6%,,0,0,0
2004-10,13,5,38.5%,5,38.5%,,0,0,0
2004-11,47,24,51.1%,12,25.5%,,0,0,0
2004-12,20,8,40%,6,30%,,0,0,0
2005-01,101,27,26.7%,30,29.7%,,0,0,0
2005-02,37,16,43.2%,13,35.1%,,0,0,0
2005-03,41,24,58.5%,11,26.8%,,0,0,0
2005-04,80,30,37.5%,26,32.5%,,0,0,0
2005-05,110,28,25.5%,18,16.4%,,1,0,1
2005-06,131,59,45%,34,26%,,0,0,0
2005-07,910,123,13.5%,394,43.3%,,2,0,2
2005-08,134,61,45.5%,38,28.4%,,0,0,0
2005-09,120,58,48.3%,30,25%,,0,0,0
2005-10,135,61,45.2%,42,31.1%,,0,0,0
2005-11,122,64,52.5%,37,30.3%,,2,0,2
2005-12,448,158,35.3%,88,19.6%,,2,0,2
2006-01,270,101,37.4%,57,21.1%,,0,0,0
2006-02,326,125,38.3%,79,24.2%,,0,0,0
2006-03,238,125,52.5%,46,19.3%,,1,0,1
2006-04,263,124,47.1%,53,20.2%,,0,0,0
2006-05,263,128,48.7%,58,22.1%,,0,0,0
2006-06,162,58,35.8%,34,21%,,0,0,0
2006-07,211,68,32.2%,41,19.4%,,2,0,2
2006-08,302,105,34.8%,78,25.8%,,1,0,1
2006-09,278,109,39.2%,79,28.4%,,0,0,0
2006-10,223,70,31.4%,73,32.7%,,0,0,0
2006-11,174,56,32.2%,52,29.9%,,1,1,2
2006-12,81,0,0%,26,32.1%,,0,0,0
2007-01,316,10,3.2%,106,33.5%,,0,1,1
2007-02,213,0,0%,46,21.6%,,1,0,1
2007-03,146,0,0%,25,17.1%,,1,0,1
2007-04,133,0,0%,27,20.3%,,0,0,0
2007-05,127,0,0%,23,18.1%,,3,0,3
