Month,Edits,IPs,IPs %,Minor edits,Minor edits %,Edits  ·  Minor edits  ·  IPs,Found References,Found Body,Total Found
2002-11,1,0,0%,1,100%,,0,0,0
2002-12,0,0,0%,0,0%,,0,0,0
2003-01,0,0,0%,0,0%,,0,0,0
2003-02,0,0,0%,0,0%,,0,0,0
2003-03,0,0,0%,0,0%,,0,0,0
2003-04,0,0,0%,0,0%,,0,0,0
2003-05,0,0,0%,0,0%,,0,0,0
2003-06,0,0,0%,0,0%,,0,0,0
2003-07,0,0,0%,0,0%,,0,0,0
2003-08,1,0,0%,1,100%,,0,0,0
2003-09,0,0,0%,0,0%,,0,0,0
2003-10,0,0,0%,0,0%,,0,0,0
2003-11,0,0,0%,0,0%,,0,0,0
2003-12,2,0,0%,0,0%,,0,0,0
2004-01,0,0,0%,0,0%,,0,0,0
2004-02,0,0,0%,0,0%,,0,0,0
2004-03,0,0,0%,0,0%,,0,0,0
2004-04,0,0,0%,0,0%,,0,0,0
2004-05,11,2,18.2%,0,0%,,0,0,0
2004-06,1,1,100%,0,0%,,0,0,0
2004-07,3,0,0%,0,0%,,0,0,0
2004-08,5,2,40%,0,0%,,0,0,0
2004-09,9,8,88.9%,1,11.1%,,0,0,0
2004-10,4,1,25%,1,25%,,0,0,0
2004-11,11,2,18.2%,3,27.3%,,0,0,0
2004-12,11,5,45.5%,1,9.1%,,0,0,0
2005-01,1,0,0%,1,100%,,0,0,0
2005-02,2,1,50%,1,50%,,0,0,0
2005-03,5,3,60%,1,20%,,0,0,0
2005-04,8,2,25%,3,37.5%,,0,0,0
2005-05,4,1,25%,2,50%,,0,0,0
2005-06,14,10,71.4%,2,14.3%,,0,0,0
2005-07,19,11,57.9%,6,31.6%,,0,0,0
2005-08,40,10,25%,8,20%,,0,0,0
2005-09,43,16,37.2%,3,7%,,0,0,0
2005-10,15,5,33.3%,5,33.3%,,0,0,0
2005-11,9,3,33.3%,2,22.2%,,0,0,0
2005-12,32,2,6.2%,12,37.5%,,0,0,0
2006-01,54,14,25.9%,13,24.1%,,0,0,0
2006-02,99,36,36.4%,24,24.2%,,0,0,0
2006-03,28,5,17.9%,10,35.7%,,0,0,0
2006-04,25,5,20%,5,20%,,0,0,0
2006-05,31,16,51.6%,5,16.1%,,0,0,0
2006-06,31,13,41.9%,11,35.5%,,0,0,0
2006-07,49,12,24.5%,16,32.7%,,0,0,0
2006-08,20,4,20%,7,35%,,0,0,0
2006-09,43,12,27.9%,9,20.9%,,0,0,0
2006-10,20,6,30%,6,30%,,0,0,0
2006-11,41,12,29.3%,10,24.4%,,0,0,0
2006-12,33,12,36.4%,4,12.1%,,0,0,0
2007-01,88,32,36.4%,17,19.3%,,1,0,1
2007-02,189,87,46%,37,19.6%,,1,0,1
2007-03,28,4,14.3%,5,17.9%,,0,0,0
2007-04,41,17,41.5%,8,19.5%,,1,0,1
2007-05,83,32,38.6%,23,27.7%,,0,0,0
2007-06,45,16,35.6%,4,8.9%,,0,0,0
2007-07,28,8,28.6%,5,17.9%,,0,0,0
2007-08,21,6,28.6%,6,28.6%,,1,0,1
2007-09,37,20,54.1%,8,21.6%,,1,0,1
2007-10,87,42,48.3%,15,17.2%,,2,0,2
