Month,Edits,IPs,IPs %,Minor edits,Minor edits %,Edits  ·  Minor edits  ·  IPs,Found References,Found Body,Total Found
2003-10,1,0,0%,0,0%,,0,0,0
2003-11,3,0,0%,3,100%,,0,0,0
2003-12,3,0,0%,2,66.7%,,0,0,0
2004-01,0,0,0%,0,0%,,0,0,0
2004-02,0,0,0%,0,0%,,0,0,0
2004-03,0,0,0%,0,0%,,0,0,0
2004-04,0,0,0%,0,0%,,0,0,0
2004-05,1,1,100%,0,0%,,0,0,0
2004-06,0,0,0%,0,0%,,0,0,0
2004-07,2,0,0%,1,50%,,0,0,0
2004-08,0,0,0%,0,0%,,0,0,0
2004-09,3,2,66.7%,1,33.3%,,0,0,0
2004-10,0,0,0%,0,0%,,0,0,0
2004-11,6,3,50%,3,50%,,0,1,1
2004-12,1,0,0%,1,100%,,0,0,0
2005-01,0,0,0%,0,0%,,0,0,0
2005-02,3,2,66.7%,1,33.3%,,0,0,0
2005-03,0,0,0%,0,0%,,0,0,0
2005-04,4,0,0%,0,0%,,0,0,0
2005-05,6,2,33.3%,0,0%,,0,0,0
2005-06,1,0,0%,0,0%,,0,0,0
2005-07,9,5,55.6%,2,22.2%,,0,0,0
2005-08,6,2,33.3%,1,16.7%,,0,0,0
2005-09,6,0,0%,1,16.7%,,0,0,0
2005-10,9,5,55.6%,2,22.2%,,0,0,0
2005-11,3,1,33.3%,0,0%,,0,0,0
2005-12,2,1,50%,1,50%,,0,0,0
2006-01,5,1,20%,3,60%,,0,0,0
2006-02,4,2,50%,1,25%,,0,0,0
2006-03,4,3,75%,1,25%,,0,0,0
2006-04,11,8,72.7%,1,9.1%,,0,0,0
2006-05,7,3,42.9%,2,28.6%,,0,0,0
2006-06,18,5,27.8%,3,16.7%,,0,0,0
2006-07,14,7,50%,3,21.4%,,0,0,0
2006-08,7,3,42.9%,1,14.3%,,0,0,0
2006-09,12,1,8.3%,5,41.7%,,0,0,0
2006-10,19,5,26.3%,6,31.6%,,1,0,1
2006-11,30,14,46.7%,2,6.7%,,0,0,0
2006-12,9,3,33.3%,0,0%,,0,0,0
2007-01,32,17,53.1%,9,28.1%,,0,0,0
2007-02,11,6,54.5%,1,9.1%,,0,0,0
2007-03,15,3,20%,3,20%,,0,0,0
2007-04,18,1,5.6%,1,5.6%,,0,0,0
2007-05,8,3,37.5%,3,37.5%,,0,0,0
2007-06,23,8,34.8%,9,39.1%,,0,0,0
2007-07,64,7,10.9%,22,34.4%,,0,0,0
2007-08,20,3,15%,2,10%,,0,0,0
2007-09,16,4,25%,5,31.2%,,0,0,0
2007-10,20,11,55%,3,15%,,0,0,0
2007-11,42,24,57.1%,6,14.3%,,0,0,0
2007-12,29,14,48.3%,2,6.9%,,0,0,0
2008-01,5,2,40%,0,0%,,0,0,0
2008-02,21,12,57.1%,3,14.3%,,0,0,0
2008-03,15,6,40%,2,13.3%,,0,0,0
2008-04,4,1,25%,1,25%,,0,0,0
2008-05,7,2,28.6%,0,0%,,0,0,0
2008-06,15,4,26.7%,4,26.7%,,0,0,0
2008-07,27,8,29.6%,4,14.8%,,0,0,0
2008-08,11,2,18.2%,2,18.2%,,0,0,0
2008-09,28,10,35.7%,3,10.7%,,0,0,0
2008-10,26,12,46.2%,6,23.1%,,2,0,2
2008-11,43,17,39.5%,8,18.6%,,0,0,0
2008-12,16,7,43.8%,5,31.2%,,0,0,0
2009-01,18,10,55.6%,2,11.1%,,0,0,0
2009-02,11,6,54.5%,3,27.3%,,0,0,0
2009-03,11,2,18.2%,3,27.3%,,0,0,0
2009-04,13,2,15.4%,5,38.5%,,0,0,0
2009-05,9,4,44.4%,2,22.2%,,0,0,0
2009-06,5,0,0%,2,40%,,2,0,2
2009-07,4,1,25%,2,50%,,1,0,1
2009-08,27,9,33.3%,2,7.4%,,1,0,1
2009-09,1,0,0%,0,0%,,0,0,0
2009-10,18,5,27.8%,7,38.9%,,0,0,0
2009-11,11,5,45.5%,3,27.3%,,0,0,0
2009-12,13,4,30.8%,5,38.5%,,0,0,0
2010-01,10,1,10%,0,0%,,0,0,0
2010-02,29,16,55.2%,5,17.2%,,0,0,0
2010-03,19,12,63.2%,3,15.8%,,1,0,1
2010-04,32,6,18.8%,8,25%,,0,0,0
2010-05,3,1,33.3%,1,33.3%,,1,0,1
2010-06,9,2,22.2%,4,44.4%,,0,0,0
2010-07,11,4,36.4%,4,36.4%,,1,0,1
2010-08,23,10,43.5%,9,39.1%,,1,0,1
2010-09,14,4,28.6%,7,50%,,0,0,0
2010-10,13,5,38.5%,2,15.4%,,0,0,0
2010-11,51,25,49%,12,23.5%,,0,0,0
2010-12,34,25,73.5%,2,5.9%,,0,0,0
2011-01,22,15,68.2%,5,22.7%,,2,0,2
2011-02,14,4,28.6%,2,14.3%,,0,0,0
2011-03,11,7,63.6%,4,36.4%,,0,0,0
2011-04,15,5,33.3%,5,33.3%,,0,0,0
2011-05,5,1,20%,1,20%,,0,0,0
2011-06,4,0,0%,1,25%,,0,0,0
2011-07,23,14,60.9%,5,21.7%,,0,0,0
2011-08,16,7,43.8%,4,25%,,0,0,0
2011-09,4,2,50%,2,50%,,0,0,0
2011-10,8,5,62.5%,1,12.5%,,0,0,0
2011-11,10,5,50%,1,10%,,0,0,0
2011-12,10,5,50%,1,10%,,0,0,0
2012-01,8,2,25%,4,50%,,0,0,0
2012-02,10,1,10%,3,30%,,0,0,0
2012-03,4,1,25%,2,50%,,0,0,0
2012-04,11,7,63.6%,3,27.3%,,0,0,0
2012-05,4,2,50%,1,25%,,0,0,0
2012-06,17,11,64.7%,5,29.4%,,0,0,0
2012-07,18,11,61.1%,3,16.7%,,0,0,0
2012-08,17,8,47.1%,5,29.4%,,0,0,0
2012-09,22,9,40.9%,9,40.9%,,1,0,1
2012-10,17,10,58.8%,6,35.3%,,1,0,1
2012-11,13,5,38.5%,6,46.2%,,0,0,0
2012-12,44,20,45.5%,15,34.1%,,2,0,2
2013-01,25,10,40%,7,28%,,0,0,0
2013-02,23,0,0%,13,56.5%,,0,0,0
2013-03,20,13,65%,3,15%,,0,1,1
2013-04,28,11,39.3%,9,32.1%,,0,0,0
2013-05,13,5,38.5%,4,30.8%,,1,0,1
2013-06,5,3,60%,1,20%,,0,0,0
2013-07,25,6,24%,4,16%,,3,0,3
2013-08,28,17,60.7%,1,3.6%,,0,0,0
2013-09,23,0,0%,3,13%,,1,0,1
2013-10,42,21,50%,8,19%,,1,0,1
2013-11,6,1,16.7%,2,33.3%,,0,0,0
2013-12,7,2,28.6%,2,28.6%,,0,0,0
2014-01,8,0,0%,3,37.5%,,0,0,0
2014-02,39,15,38.5%,8,20.5%,,0,0,0
2014-03,12,4,33.3%,6,50%,,3,0,3
2014-04,8,1,12.5%,2,25%,,0,0,0
2014-05,26,5,19.2%,1,3.8%,,2,0,2
2014-06,15,1,6.7%,3,20%,,0,0,0
2014-07,25,5,20%,4,16%,,0,0,0
2014-08,70,13,18.6%,11,15.7%,,3,0,3
2014-09,42,7,16.7%,11,26.2%,,0,0,0
2014-10,41,13,31.7%,9,22%,,0,0,0
2014-11,132,47,35.6%,19,14.4%,,1,0,1
2014-12,10,4,40%,4,40%,,1,0,1
2015-01,90,21,23.3%,15,16.7%,,0,0,0
2015-02,21,7,33.3%,8,38.1%,,0,0,0
2015-03,44,12,27.3%,16,36.4%,,0,0,0
2015-04,30,15,50%,11,36.7%,,1,0,1
2015-05,18,10,55.6%,5,27.8%,,0,0,0
2015-06,27,13,48.1%,6,22.2%,,0,0,0
2015-07,8,4,50%,4,50%,,1,0,1
2015-08,10,3,30%,3,30%,,0,0,0
2015-09,42,22,52.4%,7,16.7%,,0,0,0
2015-10,20,10,50%,3,15%,,0,0,0
2015-11,8,6,75%,2,25%,,1,0,1
2015-12,19,7,36.8%,5,26.3%,,0,0,0
2016-01,0,0,0%,0,0%,,0,0,0
2016-02,6,0,0%,4,66.7%,,1,2,3
2016-03,40,19,47.5%,15,37.5%,,2,1,3
2016-04,13,7,53.8%,2,15.4%,,0,0,0
2016-05,9,2,22.2%,2,22.2%,,2,0,2
2016-06,22,4,18.2%,7,31.8%,,0,0,0
2016-07,22,14,63.6%,4,18.2%,,0,0,0
2016-08,6,2,33.3%,2,33.3%,,1,0,1
2016-09,12,3,25%,6,50%,,1,0,1
2016-10,22,11,50%,3,13.6%,,1,1,2
2016-11,56,15,26.8%,18,32.1%,,0,0,0
2016-12,28,10,35.7%,6,21.4%,,1,0,1
2017-01,120,47,39.2%,35,29.2%,,3,1,4
2017-02,82,18,22%,26,31.7%,,2,0,2
2017-03,14,0,0%,7,50%,,0,0,0
2017-04,34,0,0%,10,29.4%,,3,1,4
2017-05,69,30,43.5%,22,31.9%,,0,0,0
2017-06,72,24,33.3%,20,27.8%,,4,0,4
2017-07,27,0,0%,3,11.1%,,1,0,1
2017-08,8,0,0%,5,62.5%,,1,0,1
2017-09,7,0,0%,2,28.6%,,2,0,2
2017-10,5,0,0%,1,20%,,1,0,1
2017-11,5,0,0%,1,20%,,1,0,1
2017-12,10,0,0%,2,20%,,0,0,0
2018-01,6,0,0%,1,16.7%,,0,0,0
2018-02,4,0,0%,2,50%,,0,0,0
2018-03,4,0,0%,0,0%,,0,0,0
2018-04,8,0,0%,1,12.5%,,1,0,1
2018-05,5,0,0%,0,0%,,1,0,1
2018-06,19,5,26.3%,6,31.6%,,3,0,3
2018-07,13,0,0%,3,23.1%,,4,1,5
2018-08,15,0,0%,1,6.7%,,1,0,1
2018-09,24,0,0%,4,16.7%,,1,0,1
2018-10,106,0,0%,11,10.4%,,5,0,5
2018-11,19,0,0%,5,26.3%,,0,0,0
2018-12,33,0,0%,12,36.4%,,2,1,3
2019-01,123,0,0%,47,38.2%,,12,1,13
2019-02,25,0,0%,4,16%,,0,0,0
2019-03,11,0,0%,5,45.5%,,0,0,0
2019-04,4,0,0%,1,25%,,1,0,1
2019-05,18,0,0%,2,11.1%,,1,0,1
2019-06,46,0,0%,5,10.9%,,2,0,2
2019-07,23,0,0%,3,13%,,2,0,2
2019-08,49,0,0%,18,36.7%,,2,0,2
2019-09,56,0,0%,16,28.6%,,0,0,0
2019-10,13,0,0%,4,30.8%,,0,0,0
2019-11,61,0,0%,3,4.9%,,1,1,2
2019-12,25,0,0%,5,20%,,5,2,7
2020-01,37,0,0%,8,21.6%,,3,0,3
2020-02,50,0,0%,21,42%,,2,0,2
2020-03,128,0,0%,22,17.2%,,7,0,7
2020-04,56,0,0%,9,16.1%,,2,1,3
2020-05,34,0,0%,9,26.5%,,2,0,2
2020-06,34,0,0%,4,11.8%,,1,0,1
2020-07,31,0,0%,2,6.5%,,0,0,0
2020-08,64,0,0%,11,17.2%,,3,0,3
2020-09,33,0,0%,7,21.2%,,6,0,6
2020-10,61,0,0%,6,9.8%,,1,1,2
2020-11,50,0,0%,13,26%,,3,0,3
2020-12,32,0,0%,7,21.9%,,0,0,0
2021-01,139,0,0%,20,14.4%,,4,1,5
2021-02,37,0,0%,11,29.7%,,0,1,1
2021-03,18,0,0%,7,38.9%,,0,0,0
2021-04,23,0,0%,6,26.1%,,0,1,1
2021-05,27,0,0%,9,33.3%,,0,1,1
2021-06,40,0,0%,7,17.5%,,0,0,0
2021-07,12,0,0%,3,25%,,0,0,0
2021-08,7,0,0%,1,14.3%,,0,0,0
2021-09,6,0,0%,1,16.7%,,0,0,0
2021-10,8,0,0%,3,37.5%,,0,0,0
2021-11,15,0,0%,7,46.7%,,0,0,0
2021-12,4,0,0%,1,25%,,0,0,0
2022-01,9,0,0%,1,11.1%,,0,0,0
2022-02,14,0,0%,6,42.9%,,0,0,0
2022-03,10,0,0%,3,30%,,0,0,0
2022-04,0,0,0%,0,0%,,0,0,0
2022-05,5,0,0%,0,0%,,0,0,0
2022-06,3,0,0%,0,0%,,0,0,0
2022-07,9,0,0%,1,11.1%,,0,0,0
2022-08,6,0,0%,1,16.7%,,0,0,0
2022-09,1,0,0%,0,0%,,0,0,0
2022-10,8,0,0%,1,12.5%,,0,0,0
2022-11,20,0,0%,7,35%,,0,0,0
2022-12,3,0,0%,1,33.3%,,0,0,0
